Banner,sign,ad,flyer,poster,address,,,,,,,,,,,,,,,,
sewer,refrigeration,gas,mechanic,heating,ventilation,HVAC,air condition,plumbing,drain,,,,,,,,,,,,
temporary,permenent,,,,,,,,,,,,,,,,,,,,
maintenance,repair,replace,leak,broken,,,,,,,,,,,,,,,,,
permit,license,certificate,authorized,commercial,firm,retail,wholesale,supplier,,,,,,,,,,,,,
building code,requirement,,,,,,,,,,,,,,,,,,,,
vacant,empty,,,,,,,,,,,,,,,,,,,,
vehicle,car,bus,,,,,,,,,,,,,,,,,,,
animal,farm,chicken ,poultry,cow,livestock,goat,,,,,,,,,,,,,,,
consignment,key,,,,,,,,,,,,,,,,,,,,
sale,purchase,,,,,,,,,,,,,,,,,,,,
overcrowd,population,occupancy,,,,,,,,,,,,,,,,,,,
dump,trash,garbage,collection,disposal,litter,rubbish,filth,,,,,,,,,,,,,,
hazard,,,,,,,,,,,,,,,,,,,,,
regulation,requirement,protocol,,,,,,,,,,,,,,,,,,,
exterior,chimney,tower,foundation,fence,roof,parking,park,sidewalk,pool,swim,light,paving,toilet,driveway,decorative,yard,,,,,
rodent,mouse,rat,insect,termite,bug,weed,pathogenic,mold,rust,,,,,,,,,,,,
fence,wall,guard,handrail,,,,,,,,,,,,,,,,,,
smoke,fire,safety,radioactive,,,,,,,,,,,,,,,,,,
interior,light,stair,shower,bathroom,lavatory,faucet,bathtub,basin,drain,flush,kitchen,oven,laundry,sheathing,rafter,brick,windpw,door,paint,ceiling,floor
liquor,beverage,beer,gun,arm,ammo,weapon,rifle,,,,,,,,,,,,,,
children,minor,under 18,school,church,,,,,,,,,,,,,,,,,